n, mean, var, SE_mean, SE_var, mean_lower95, mean_upper95, var_lower95, var_upper95
50,-0.507339,1.966538,0.198320,0.397301,-0.896046,-0.118632,1.187829,2.745247
50,-0.529075,1.936845,0.196817,0.391302,-0.914836,-0.143313,1.169893,2.703796
50,-0.673293,2.984091,0.244299,0.602878,-1.152118,-0.194467,1.802452,4.165731
50,-0.353628,2.741866,0.234174,0.553941,-0.812608,0.105352,1.656142,3.827589
50,-0.903787,2.413938,0.219724,0.487689,-1.334446,-0.473127,1.458068,3.369809
50,-0.670442,2.081419,0.204030,0.420510,-1.070342,-0.270543,1.257219,2.905619
50,-0.118721,1.979221,0.198958,0.399863,-0.508680,0.271237,1.195489,2.762952
50,-0.787823,3.180165,0.252197,0.642490,-1.282129,-0.293517,1.920884,4.439446
50,-0.533677,1.836467,0.191649,0.371022,-0.909309,-0.158045,1.109263,2.563671
50,-0.557330,1.860871,0.192918,0.375953,-0.935449,-0.179210,1.124004,2.597738
50,-0.350347,2.202316,0.209872,0.444935,-0.761697,0.061002,1.330243,3.074388
50,-0.449313,1.467369,0.171311,0.296453,-0.785082,-0.113544,0.886320,2.048417
50,-0.031491,2.406289,0.219376,0.486144,-0.461467,0.398486,1.453447,3.359131
50,-0.507972,1.921180,0.196019,0.388137,-0.892170,-0.123774,1.160431,2.681928
50,-0.410690,2.217525,0.210596,0.448008,-0.823457,0.002078,1.339430,3.095620
50,-0.329044,1.986864,0.199342,0.401407,-0.719754,0.061667,1.200106,2.773623
50,-0.248686,2.059835,0.202970,0.416150,-0.646507,0.149135,1.244182,2.875489
50,-0.707244,2.350075,0.216798,0.474787,-1.132169,-0.282319,1.419493,3.280657
50,-0.661056,2.023957,0.201194,0.408901,-1.055397,-0.266715,1.222511,2.825403
50,-0.479604,2.166157,0.208142,0.437630,-0.887563,-0.071646,1.308403,3.023911
50,-0.860726,2.353697,0.216965,0.475519,-1.285978,-0.435475,1.421680,3.285713
50,-0.461333,2.047625,0.202367,0.413683,-0.857973,-0.064693,1.236807,2.858443
